,id,Title,Product_URL,Price_now,PHOTO_URL,Brand,Type,Color,Frameininches,Size,Gender,RidingStyle,Material,WheelSize,RearDerailleur,ItemCondition,Availability,bikeID,State,City,BrakingType
581,13684,Scott Gambler 720 2019,https://www.bikeexchange.com/a/full-suspension-mountain-bikes/scott/ca/los-angeles/gambler-720/146256146,4399.99,https://marketplacer.imgix.net/q3/Xh3S-63DtSIG_hRYFeqKmAH_Q.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=c2fd0ea40fd30929700725c72934917d,Scott,Full Suspension Mountain Bikes,Beige,"16""","Small, Medium, Large",Unisex,Downhill & Freeride,Aluminum,"27.5""",SRAM GX,New,In-store,146256146,CA,Los Angeles,.
582,13685,2020 Cannondale Habit 5,https://www.bikeexchange.com/a/full-suspension-mountain-bikes/cannondale/tx/fort-worth/2020-cannondale-habit-5/153894428,2700.0,https://marketplacer.imgix.net/si/-92qes_r_MvfEcYWiTnbzdtJ4.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=87bddbf2cc1b4724cd15580d5e8c720a,Cannondale,Full Suspension Mountain Bikes,Matte Green,"17""",Medium,Unisex,All Mountain,Aluminum,"29""",SRAM SX Eagle,New,In-store,153894428,TX,Fort Worth,.
583,13686,Giant Reign SX 2017,https://www.bikeexchange.com/a/full-suspension-mountain-bikes/giant/tx/pasadena/reign-sx/105546058,3650.0,https://marketplacer.imgix.net/vc/pK5kZttIMcDYdvMLiBh5Avueo.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=75186dac9725399eb24db6e0818867a9,Giant,Full Suspension Mountain Bikes,Orange,"23"", 24"", 25"", 26""","Small, Medium, Large, XL",Unisex,Downhill & Freeride,Aluminum,"27.5""",SRAM GX,New,In-store,105546058,TX,Pasadena,.
584,13687,Cannondale Scalpel Si Crb 4 27.5 2018,https://www.bikeexchange.com/a/full-suspension-mountain-bikes/cannondale/ca/torrance/scalpel-si-crb-4-27-5/113091147,4199.99,https://marketplacer.imgix.net/My/tFlEtbeAwppDsUR0T00uD8Edw.ashx?auto=format&fm=pjpg&fit=max&w=640&h=576&s=f0a5d36ea5076cf8ea35d070691e2eb3,Cannondale,Full Suspension Mountain Bikes,Green,"15.5""",Small,Unisex,Cross Country,Carbon,"27.5""",Shimano XT,New,In-store,113091147,CA,Torrance,.
585,13688,Cannondale Trail 7 27.5 2018,https://www.bikeexchange.com/a/hardtail-mountain-bikes/cannondale/ca/torrance/trail-7-27-5/113091066,649.99,https://marketplacer.imgix.net/0o/3wahbjfcfjaDX3dWzZWZbDujM.ashx?auto=format&fm=pjpg&fit=max&w=640&h=576&s=b8bd9367d9473a1a8c2e254817196cbc,Cannondale,Hardtail Mountain Bikes,Green,"14""",XS,Unisex,Recreational,Aluminum,"27.5""",Shimano Altus,New,In-store,113091066,CA,Torrance,.
586,13689,Cannondale Tango 4 2015,https://www.bikeexchange.com/a/hardtail-mountain-bikes/cannondale/il/willow-springs/tango-4/100033887,899.99,https://marketplacer.imgix.net/A_/rU40l3zbrA-S-fnInOqLtAAP4.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=204197048d8d63269eb752c009df12a9,Cannondale,Hardtail Mountain Bikes,"Black, Yellow","15"", 17"", 19""","Small, Medium, Large",Womens,Cross Country,Aluminum,"27.5""",Shimano Alivio,New,In-store,100033887,IL,Willow Springs,.
587,13691,Specialized Epic Ht Men Comp Carbon 29 2019,https://www.bikeexchange.com/a/hardtail-mountain-bikes/specialized/fl/pembroke-pines/epic-ht-men-comp-carbon-29/126647475,2700.0,https://marketplacer.imgix.net/CD/D1vB3ck1eR76w02t_9fgjr1A4?auto=format&fm=pjpg&fit=max&w=640&h=576&s=baaf5461ce719340507ff6e86be5ae44,Specialized,Hardtail Mountain Bikes,Dark Blue,"17""",Small,Unisex,Cross Country,Carbon,"29""",SRAM NX,New,In-store,126647475,FL,Pembroke Pines,.
588,13692,Fuji Auric 27.5 Lt 1.3 2019,https://www.bikeexchange.com/a/full-suspension-mountain-bikes/fuji/in/monticello/auric-27-5-lt-1-3/160113978,3499.99,https://marketplacer.imgix.net/IM/MSg5j9yA8tpiY6EtCfB5LkLhw.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=7b06266fce492e7adc458bb9547badb3,Fuji,Full Suspension Mountain Bikes,Green,"15"", 17"", 19"", 21""","Small, Medium, Large, XL",Unisex,Trail,Aluminum,"27.5""",Shimano Deore XT,New,In-store,160113978,IN,Monticello,.
589,13693,Cannondale Trigger 3 2016,https://www.bikeexchange.com/a/full-suspension-mountain-bikes/cannondale/ks/overland-park/trigger-3/102730878,3499.99,https://marketplacer.imgix.net/j_/90SfjmzwW1SlFeavero2VT9Jg.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=51d946edb2a3cd5e77a180af465d4f7e,Cannondale,Full Suspension Mountain Bikes,Orange,"17"", 21""","Medium, XL",Unisex,Downhill & Freeride,Aluminum,"27.5""",Shimano XT,New,In-store,102730878,KS,Overland Park,.
590,13694,Specialized Epic Ht Expert Carbon 29 2020,https://www.bikeexchange.com/a/hardtail-mountain-bikes/specialized/ut/woods-cross/epic-ht-expert-carbon-29/150410068,4320.0,https://marketplacer.imgix.net/4M/menMg-wunFPif6QsqhsbJokcU?auto=format&fm=pjpg&fit=max&w=640&h=576&s=9e0b473281f319f255f1c3b73f40e9e6,Specialized,Hardtail Mountain Bikes,.,.,.,Unisex,Cross Country,Carbon,"29""",SRAM GX Eagle,New,"Pick Up In Store, In-store",150410068,UT,Woods Cross,.
